id,corr
ckxupbeu,-0.996070517035922
emqusefk,-0.9955485434063492
jtwgvwhr,-0.9950045896730426
mdxazgnd,-0.9948170775208212
ofxclmcr,-0.9945770743222424
pzsshfei,-0.993258354163047
jhrblqyn,-0.9924396153365316
dfxoshfo,-0.991319951074369
kdqwivzb,-0.9911486745887133
dzqhmihp,-0.9874416291506856
anmwlhmx,-0.9870691721466166
afpbumsz,-0.987057128186508
tlcyshyr,-0.9860552161538458
psxqcvmk,-0.9850901661016817
kltlgala,-0.9849704962666808
itdlqddt,-0.9846473807980411
fdhrfnmf,-0.98432368909091
jlgfvkak,-0.9838037112155248
rjnhnjbz,-0.9828856367233344
bxldmyzj,-0.981837526948548
qcfwgswh,-0.9805135831339172
dqjwqzci,-0.9804909969006824
odhrtwco,-0.9800173708939516
hlpdzohh,-0.9799222840111972
npjwqazy,-0.9795012286556016
locrcrkq,-0.9777646372790072
mjmahzkn,-0.9774998489140744
dvzhwogl,-0.9761691861230214
ciijwdvy,-0.975790223277591
tjpocmaz,-0.9757437589429496
rrjjwtwc,-0.9755050635250486
hvnyvlfc,-0.9751859841447088
fepgygnc,-0.9748738346937514
bjbpwxcf,-0.974461719821973
swdjukvl,-0.9743863355738004
eoqooudj,-0.9739480069310574
thjojabw,-0.9726849568319286
pmkquzsl,-0.9725681710277784
ijwsqzdt,-0.9722526542943684
keyhftco,-0.9718248661995724
ibetmzon,-0.9717651019127485
cizwyyad,-0.971728652982792
ihazvpry,-0.9714464362005027
kqlqndtt,-0.971121428162032
hqvybjeo,-0.9707909223876298
kyvjrpvb,-0.9706296864539166
hksizfdf,-0.9705344836554826
bnctcrlp,-0.9705083182374696
bbkqwqee,-0.970349274929452
lcuhphul,-0.9700157144095806
jaopwxzn,-0.9697406548918556
dskhovbt,-0.9696244770135936
tlewlurt,-0.969551094613091
kjvajjiv,-0.9687296830260692
hwvuiqgb,-0.9678278172068608
mxjuacmx,-0.9677068207669434
oslzoudh,-0.967494503749233
hfghpiap,-0.9671852500865362
ifxplshy,-0.9669916972437088
dkxxnurv,-0.9668460179629008
nxrjillj,-0.966498755677336
kxpljibo,-0.9662038610757624
bgjslnpb,-0.9655293287081564
alivzvnw,-0.9652096597055886
rcrrpcjk,-0.9646839018413956
ptglitem,-0.9642239846361688
fnwggmzm,-0.9641452612346124
sokjtqzd,-0.9627747329858484
nrphjxyh,-0.962728137535926
nqyzzgie,-0.962523782875471
tdlqbcil,-0.9624764884759336
kxsyagjt,-0.9617508365766028
sgzqxoth,-0.9610523496459572
cngecazx,-0.9610417945436012
rfarhpjj,-0.960806770057382
hbphxklq,-0.9601261132191956
gjtpryet,-0.9600650489465056
jpxnbdzw,-0.9600597009725712
dtouwwav,-0.9600356645920488
ppakkuqm,-0.959808462652368
drklgflv,-0.9595895951324565
dqbkshpc,-0.9590634353665805
etdosykq,-0.9589623851621916
hdupqiki,-0.9587272018215064
sdrvawne,-0.958444790726655
gphmsayf,-0.958089800869049
lubuopmp,-0.957429840650512
bwgxkilh,-0.9574245482049344
codscfxx,-0.9572925430177862
dkdwqafj,-0.957231645288404
chtuzrlg,-0.9571864577418614
scqzamyv,-0.9570886542466284
maaczfeb,-0.956978806446956
firhroav,-0.9569053890282574
drjkecoq,-0.9566164723076614
dunidhba,-0.956525911697175
oswplrtu,-0.9565170893119644
onmwqcdp,-0.9564226543401222
edbvmhuk,-0.95641455682259
ilwchejy,-0.9558170826466732
alzxbpph,-0.9554471620547752
izzvtcjm,-0.9551642562655752
kncxktva,-0.9551015237114796
mltqgkru,-0.95483036939961
cylzngpg,-0.9547044277209634
ekmhhyvb,-0.954559078393205
ghtcozjn,-0.9545356452977276
rszqixaj,-0.954165541594148
iwshbhzy,-0.9541231539051204
lerxfdox,-0.954083431785982
dbpooioo,-0.9536690531013938
idxjoghe,-0.9535355950552687
eglvonrx,-0.952918686482712
mtasdrnu,-0.952820338599152
blbyuxsa,-0.952770525638802
atrxvkzj,-0.9526138594844066
sdfzphja,-0.952531418730526
mlycvgpb,-0.9519738288745544
izalrehu,-0.951178668323462
hggotcpy,-0.9499419854803264
aeqqngfd,-0.9498749031211574
sebwthjh,-0.9498073500785256
qxewtdjm,-0.9495975178777404
jghqgggl,-0.94959679015121
ibnraujp,-0.9494473905243058
elydzqme,-0.9493760032949176
kncgpisu,-0.9491363550793132
awtcvjcb,-0.9486895169025804
gptcfshh,-0.9486777277733404
levrjmxw,-0.9486436803597488
mftvjvra,-0.9485683446829568
gjtrisuu,-0.9484472454831212
gyeowjib,-0.948375195944559
hogktkbo,-0.9481298644476704
gmnhdqhp,-0.9474247274024769
kamcgxyk,-0.9471437612303386
ktuijiqn,-0.9468422861310049
ebzvyxsd,-0.9466626242112272
ktrievkz,-0.9465497640025268
kmccegrm,-0.9463931863793432
nvylcrku,-0.9462769991139632
gqevhuob,-0.9458972135545536
cvfesfon,-0.9458787195699704
dyulypmw,-0.9455503000431398
bsuiwzjn,-0.9451820103816916
hrjtcykj,-0.945001026300299
ethntxot,-0.94452445941507
pzugskqr,-0.9444469426059602
bcnbggwe,-0.9443348036663842
gtgjzeqv,-0.9442022807924678
oitnpruy,-0.9440956168184296
lsggdrpb,-0.9440874301707058
ldsvtycx,-0.9438027359203608
adkltkpw,-0.9432999681140126
shjftqoh,-0.94320578869543
frkvjwjq,-0.9431264078813628
rwcfscrf,-0.9429378623811552
comgqafh,-0.9428758775212766
fywejfzc,-0.9425355948344148
macodtwx,-0.9418815789165088
pernqhva,-0.9418049464787024
pxfcqyuv,-0.941565834796533
jfldsbys,-0.9413708792985044
rkarfbve,-0.9412835845232096
rhidoihz,-0.941125428862677
okeqtkid,-0.9411205790050234
dgkgdqig,-0.9410188400289904
fmjjqvpn,-0.9409547082060185
qfjhusfx,-0.9408094904772916
fniwmetz,-0.940805536390284
nashscrl,-0.9406738829564476
poleestu,-0.9402172650450692
svqdflgc,-0.940088655281122
jpfjtcch,-0.9399977904799044
ouwpdnqb,-0.9394962104930968
amztprcp,-0.9394230217658126
esxjklwc,-0.9387460434006694
revfgrum,-0.9384558907024032
mguridab,-0.93843902335728
nklxdene,-0.9383376300474487
eehtkkmv,-0.9380808641583698
qnqylmte,-0.9379440977603728
gaekokkf,-0.9376813037918706
hgydteui,-0.9376525141158548
odvgtstt,-0.9374289983454424
jsihuvmt,-0.9372611857214214
jxbwifae,-0.9371497725828996
ciqmutrp,-0.937137463412868
nhmktxmf,-0.9371006127432716
jilxfifz,-0.9369231092380118
hhmvpaws,-0.93681882438134
omwhkodn,-0.9368087424808454
eatfiaxh,-0.9367316397180844
byhbgqta,-0.9364714712057584
frpehbbo,-0.9364647216575106
oqmiwfdj,-0.9364155555323396
rhmcjuud,-0.9362595787599972
elkxpdwj,-0.9360096700609636
fxdxhczf,-0.9356122961619202
cuuhtlmp,-0.935551939987946
akiopkgk,-0.9354397646097932
cibapkyo,-0.9354114103594048
tizmutog,-0.9352764918608364
enkkqrrg,-0.9350603897590556
mdbhpqdn,-0.9350261518753028
blftdifj,-0.9349779031706628
igplxapz,-0.934678359774888
gqvjwtko,-0.9344232571068836
htkbbkpe,-0.9342480013143528
kebfswcc,-0.9341915337491048
igtvvdnm,-0.934174383783958
