id,true_corr,pred_corr,loss
bjooaqff,-0.83052695,-0.6290128,0.20151412
mmmxoahn,-0.12603159,-0.017602094,0.1084295
rwhjrobc,0.75967014,0.65422255,0.10544759
dothcxzz,-0.9099529,-1.0430808,0.13312793
bvtrwctv,0.8016851,0.9198446,0.11815953
inbunjlr,-0.5216373,-0.6686447,0.1470074
eeopgekb,0.6481646,0.5367708,0.11139375
kaorixbk,0.67953295,0.3894937,0.29003924
pubsbcia,0.9057906,0.7933073,0.11248332
atmijeab,-0.47638997,-0.36021703,0.11617294
dhgklsut,0.5737215,0.45372957,0.11999196
koeplwwp,0.05560781,0.18558893,0.12998112
njayevoo,-0.8113147,-0.7068347,0.10448003
iznptwko,0.39468262,0.24932468,0.14535794
llzhohqz,-0.79803884,-0.6861501,0.11188877
olsnbbvm,-0.49670863,-0.33961755,0.15709108
tfdugcrm,0.7532214,0.58442414,0.16879725
lgwjurzt,-0.80075514,-0.6652682,0.13548696
tkekengs,0.28853798,0.1698725,0.11866549
ctocsgxp,0.6529787,0.431061,0.22191772
amwycebn,0.18341969,0.070288666,0.113131024
rzytqitd,0.054762375,-0.051377438,0.10613981
ilqfmxpv,-0.6832255,-0.54715717,0.13606834
gypkqzbz,0.57268125,0.46368513,0.10899612
abzkeofc,-0.20538542,-0.34100515,0.13561973
hcdklrva,0.3117692,0.41659147,0.10482228
lthkiwix,0.1934671,0.08481901,0.108648084
raujtkrz,0.19677132,0.30745584,0.110684514
doghlvpz,-0.7307708,-0.6124672,0.1183036
hntlmrsx,0.38201848,0.26146466,0.12055382
hsrlsmkw,-0.300987,-0.102219455,0.19876754
bfmegvuk,-0.12980433,-0.2319386,0.10213427
kdwqmonn,-0.40201688,-0.2655308,0.13648608
bsftbplt,0.40050924,0.51419777,0.11368853
hnzlcecy,0.86015594,0.6898342,0.17032176
kbvbbkli,0.041414313,-0.07795016,0.11936447
ewglenax,-0.56587815,-0.452893,0.112985164
lvobnrry,-0.6208779,-0.44329345,0.17758447
gjykcsvt,-0.08912384,0.13095191,0.22007576
cgpnaxpv,-0.113575496,0.018063366,0.13163885
flbbbqsl,0.1994741,0.06324389,0.1362302
eilraqii,0.49670914,0.39295077,0.103758365
jqolzqjq,-0.69000864,-0.57366043,0.11634821
cyqvgjgj,-0.80838466,-0.6831318,0.12525284
byjbxkrj,0.53824097,0.42076993,0.11747104
rerzylim,-0.6728308,-0.53460956,0.13822126
neilosij,-0.40883797,-0.22235927,0.1864787
ragtgdts,-0.37212512,-0.2541667,0.11795843
kavewbrz,0.8526692,1.0191572,0.16648799
jdqznhlo,0.94251233,0.8193363,0.12317604
cpxsusbu,0.6493706,0.7657635,0.11639291
idtyprqx,-0.26016408,-0.120770164,0.13939393
ppwhrtff,0.67539793,0.57198393,0.103414
muzminlj,0.024298673,-0.09374475,0.11804342
igjssqii,-0.1727663,-0.023110233,0.14965606
nhnmotjc,0.06797126,0.17891267,0.11094141
fnwxbptw,-0.055735685,0.15739015,0.21312582
ozjllqvv,0.09403444,-0.07244458,0.16647902
pdqcijec,-0.07864239,-0.21002746,0.13138506
bvafkyzw,-0.24880524,-0.09258898,0.15621626
